
[node 1]
ram_reads = 0
ram_writes = 0
ssd_reads = 0
ssd_writes = 0
hdd_reads = 0
hdd_writes = 0
cache_hits = 356997
cache_misses = 557148
cache_replacements = 556148
cache status --------------------------------
ARC cache size = 1000
p = 47, |L1| = 1000, |L2| = 1000
[  244] 0, 4423, 3
[  998] 0, 14478, 3
[ 1126] 0, 36445, 3
[ 1483] 0, 380, 3
[  325] 0, 14482, 3
[ 1444] 0, 186545, 3
[ 1467] 0, 14485, 3
[ 1664] 0, 105108, 3
[  937] 0, 519, 3
[ 1452] 0, 117113, 3
[  123] 0, 112511, 3
[   97] 0, 159172, 3
[  892] 0, 20577, 3
[ 1171] 0, 142482, 3
[ 1932] 0, 34936, 3
[ 1527] 0, 118, 3
[ 1406] 0, 119, 3
[  663] 0, 181, 3
[  319] 0, 182, 3
[  301] 0, 1261, 3
[  695] 0, 1262, 3
[ 1963] 0, 88695, 3
[  191] 0, 186618, 3
[  624] 0, 186629, 3
[ 1949] 0, 186634, 3
[ 1421] 0, 25193, 3
[  583] 0, 185730, 3
[  296] 0, 127071, 3
[  869] 0, 186624, 3
[  719] 0, 52346, 3
[ 1923] 0, 52347, 3
[  377] 0, 8195, 3
[ 1022] 0, 182528, 3
[   36] 0, 88699, 3
[ 1013] 0, 182531, 3
[ 1147] 0, 184243, 3
[  542] 0, 186650, 3
[ 1229] 0, 184891, 3
[ 1438] 0, 1125, 3
[ 1428] 0, 1126, 3
[  342] 0, 6064, 3
[  171] 0, 6079, 3
[ 1758] 0, 186646, 3
[  708] 0, 126942, 3
[  403] 0, 126949, 3
[  396] 0, 1132, 3
[  272] 0, 1133, 3
[  338] 0, 186655, 3
[  711] 0, 2464, 3
[ 1000] 0, 2465, 3
[  254] 0, 8, 3
[ 1632] 0, 179533, 3
[ 1493] 0, 186072, 3
[ 1149] 0, 186620, 3
[ 1533] 0, 186666, 3
[   11] 0, 20473, 3
[ 1859] 0, 20478, 3
[  889] 0, 147, 3
[ 1075] 0, 148, 3
[  504] 0, 151, 3
[ 1636] 0, 152, 3
[ 1033] 0, 4720, 3
[  487] 0, 4166, 3
[ 1127] 0, 168, 3
[ 1005] 0, 169, 3
[ 1732] 0, 532, 3
[ 1583] 0, 5676, 3
[ 1004] 0, 186096, 3
[  582] 0, 186097, 3
[  156] 0, 71457, 3
[ 1320] 0, 29162, 3
[  387] 0, 16943, 3
[  843] 0, 186672, 3
[ 1762] 0, 186675, 3
[ 1392] 0, 186682, 3
[ 1492] 0, 65838, 3
[  654] 0, 78170, 3
[  860] 0, 65316, 3
[ 1014] 0, 65307, 3
[ 1095] 0, 13915, 3
[   79] 0, 1402, 3
[   67] 0, 1403, 3
[ 1066] 0, 138325, 3
[  400] 0, 1405, 3
[ 1290] 0, 1406, 3
[ 1540] 0, 2787, 3
[  180] 0, 2823, 3
[ 1181] 0, 89869, 3
[ 1682] 0, 186622, 3
[ 1235] 0, 50666, 3
[ 1785] 0, 85236, 3
[  196] 0, 31795, 3
[ 1677] 0, 186707, 3
[ 1282] 0, 186702, 3
[  631] 0, 85272, 3
[ 1864] 0, 186700, 3
[ 1919] 0, 1134, 3
[  489] 0, 1135, 3
[ 1909] 0, 120809, 3
[  957] 0, 185299, 3
[  205] 0, 185291, 3
[  195] 0, 120811, 3
[  108] 0, 5972, 3
[  558] 0, 51283, 3
[ 1462] 0, 3431, 3
[  393] 0, 4604, 3
[  763] 0, 334, 3
[  235] 0, 335, 3
[  315] 0, 338, 3
[   28] 0, 339, 3
[ 1994] 0, 5336, 3
[  867] 0, 1719, 3
[ 1144] 0, 184379, 3
[ 1651] 0, 89681, 3
[  841] 0, 89682, 3
[ 1189] 0, 186729, 3
[  268] 0, 1427, 3
[  288] 0, 120813, 3
[ 1085] 0, 156113, 3
[ 1702] 0, 6068, 3
[ 1309] 0, 6069, 3
[ 1679] 0, 137795, 3
[ 1757] 0, 6076, 3
[ 1622] 0, 6077, 3
[  985] 0, 1430, 3
[ 1418] 0, 6080, 3
[ 1553] 0, 6081, 3
[  192] 0, 51673, 3
[  686] 0, 51674, 3
[  911] 0, 120814, 3
[  335] 0, 181473, 3
[  644] 0, 186745, 3
[  117] 0, 262, 3
[    3] 0, 263, 3
[  220] 0, 186742, 3
[ 1159] 0, 347, 3
[  451] 0, 348, 3
[ 1109] 0, 362, 3
[  389] 0, 363, 3
[ 1747] 0, 186704, 3
[  394] 0, 186735, 3
[  146] 0, 185910, 3
[ 1634] 0, 186746, 3
[ 1637] 0, 2102, 3
[ 1170] 0, 91574, 3
[  873] 0, 49076, 3
[ 1209] 0, 92155, 3
[  439] 0, 97783, 3
[  167] 0, 182466, 3
[  881] 0, 177, 3
[ 1943] 0, 178, 3
[  109] 0, 186759, 3
[ 1372] 0, 196, 3
[ 1738] 0, 197, 3
